cluster	cell_type	color	broad_cell_type	cluster_class	legacy_annotation_string
lc005	gastrodermis	wheat1	gastrodermis	leiden	gastrodermis(1.00)
lc012	gastrodermis	wheat1	gastrodermis	leiden	gastrodermis(0.99)
lc014	gastrodermis	wheat1	gastrodermis	leiden	gastrodermis(1.00)
lc017	gastrodermis	wheat1	gastrodermis	leiden	gastrodermis(1.00)
lc021	gastrodermis	wheat1	gastrodermis	leiden	gastrodermis(1.00)
lc038	gastrodermis	wheat1	gastrodermis	leiden	gastrodermis(1.00)
lc053	gastrodermis	wheat1	gastrodermis	leiden	gastrodermis(1.00)
lc055	gastrodermis	wheat1	gastrodermis	leiden	gastrodermis(1.00)
lc057	gastrodermis	wheat1	gastrodermis	leiden	gastrodermis(1.00)
lc041	gastrodermis_gland_like	cornsilk2	gastrodermis	leiden	gastrodermis_gland_like(1.00)
lc010	gastrodermis_muscle	burlywood4	gastrodermis	leiden	gastrodermis_muscle(1.00)
lc028	gastrodermis_muscle	burlywood4	gastrodermis	leiden	gastrodermis_muscle(1.00)
lc027	gastrodermis_alga_hosting	darkolivegreen3	gastrodermis	leiden	gastrodermis_alga_hosting(1.00)
lc051	gastrodermis_alga_hosting	darkolivegreen3	gastrodermis	leiden	gastrodermis_alga_hosting(1.00)
lc006	epidermis_1	cadetblue2	epidermis	leiden	epidermis_1(1.00)
lc007	epidermis_1	cadetblue2	epidermis	leiden	epidermis_1(1.00)
lc013	epidermis_1	cadetblue2	epidermis	leiden	epidermis_1(0.98)
lc024	epidermis_1	cadetblue2	epidermis	leiden	epidermis_1(1.00)
lc004	epidermis_2	cadetblue3	epidermis	leiden	epidermis_2(1.00)
lc044	epidermis_2	cadetblue3	epidermis	leiden	epidermis_2(1.00)
lc058	epidermis_2	cadetblue3	epidermis	leiden	epidermis_2(0.64); precursors(0.36)
lc022	epidermis_3	cadetblue4	epidermis	leiden	epidermis_3(1.00)
lc026	epidermis_3	cadetblue4	epidermis	leiden	epidermis_3(1.00)
lc003	epidermis_like	lightsteelblue2	epidermis	leiden	epidermis_like(1.00)
lc020	epidermis_like	lightsteelblue2	epidermis	leiden	epidermis_like(1.00)
lc050	epidermis_like	lightsteelblue2	epidermis	leiden	epidermis_like(1.00)
lc040	gland_calicoblast_like	mediumpurple1	neurosecretory	leiden	gland_calicoblast_like(1.00)
lc048	gland_calicoblast_like	mediumpurple1	neurosecretory	leiden	gland_calicoblast_like(1.00)
lc054	gland_calicoblast_like	mediumpurple1	neurosecretory	leiden	gland_calicoblast_like(1.00)
lc035	neurosecretory_progenitors	slategray3	neurosecretory	leiden	neurosecretory_progenitors(0.99)
lc016	neuron_Pou4_1	royalblue1	neurosecretory	leiden	neuron_Pou4_1(0.94)
lc039	neuron_Pou4_1	royalblue1	neurosecretory	leiden	neuron_Pou4_1(0.99)
lc033	neuron_Pou4_2	royalblue2	neurosecretory	leiden	neuron_Pou4_2(1.00)
lc052	neuron_Pou4_3	royalblue3	neurosecretory	leiden	neuron_Pou4_3(1.00)
lc045	neuron_Pou4_4	royalblue4	neurosecretory	leiden	neuron_Pou4_4(1.00)
lc037	neuron_Etv1	skyblue1	neurosecretory	leiden	neuron_Etv1(0.97)
lc032	neuron_Hmx	skyblue2	neurosecretory	leiden	neuron_Hmx(1.00)
lc046	gland_secretory_1	sienna1	neurosecretory	leiden	gland_secretory_1(1.00)
lc036	gland_secretory_2	sienna2	neurosecretory	leiden	gland_secretory_2(0.98)
lc029	gland_secretory_3	sienna3	neurosecretory	leiden	gland_secretory_3(0.98)
lc042	gland_secretory_4	tan1	neurosecretory	leiden	gland_secretory_4(0.86); gland_calicoblast_like(0.08); gland_secretory_3(0.05)
lc043	gland_secretory_5	tan2	neurosecretory	leiden	gland_secretory_5(1.00)
lc034	cnidocyte_1	mediumorchid2	neurosecretory	leiden	cnidocyte_1(1.00)
lc018	cnidocyte_2	mediumorchid3	neurosecretory	leiden	cnidocyte_2(1.00)
lc001	precursors	snow2	other	leiden	precursors(1.00)
lc002	precursors	snow2	other	leiden	precursors(1.00)
lc008	precursors	snow2	other	leiden	precursors(1.00)
lc009	precursors	snow2	other	leiden	precursors(1.00)
lc011	precursors	snow2	other	leiden	precursors(1.00)
lc015	precursors	snow2	other	leiden	precursors(1.00)
lc019	precursors	snow2	other	leiden	precursors(1.00)
lc023	precursors	snow2	other	leiden	precursors(1.00)
lc025	precursors	snow2	other	leiden	precursors(1.00)
lc030	precursors	snow2	other	leiden	precursors(1.00)
lc031	precursors	snow2	other	leiden	precursors(1.00)
lc047	precursors	snow2	other	leiden	precursors(1.00)
lc049	precursors	snow2	other	leiden	precursors(1.00)
lc056	precursors	snow2	other	leiden	precursors(1.00)
