cluster	cell_type	color	broad_cell_type	cluster_class	legacy_annotation_string
lc003	gastrodermis	wheat1	gastrodermis	leiden	unknown(1.00)
lc004	gastrodermis	wheat1	gastrodermis	leiden	unknown(1.00)
lc006	gastrodermis	wheat1	gastrodermis	leiden	unknown(1.00)
lc010	gastrodermis	wheat1	gastrodermis	leiden	unknown(1.00)
lc012	gastrodermis	wheat1	gastrodermis	leiden	unknown(1.00)
lc013	gastrodermis	wheat1	gastrodermis	leiden	unknown(1.00)
lc015	gastrodermis	wheat1	gastrodermis	leiden	unknown(1.00)
lc018	gastrodermis	wheat1	gastrodermis	leiden	unknown(1.00)
lc019	gastrodermis	wheat1	gastrodermis	leiden	unknown(1.00)
lc025	gastrodermis	wheat1	gastrodermis	leiden	unknown(1.00)
lc030	gastrodermis	wheat1	gastrodermis	leiden	unknown(1.00)
lc031	gastrodermis	wheat1	gastrodermis	leiden	unknown(1.00)
lc037	gastrodermis	wheat1	gastrodermis	leiden	unknown(1.00)
lc038	gastrodermis	wheat1	gastrodermis	leiden	unknown(1.00)
lc040	gastrodermis	wheat1	gastrodermis	leiden	unknown(1.00)
lc002	gastrodermis_alga_hosting	darkolivegreen3	gastrodermis	leiden	unknown(1.00)
lc028	gastrodermis_alga_hosting	darkolivegreen3	gastrodermis	leiden	unknown(1.00)
lc014	digestive_filaments	pink3	epidermis	leiden	unknown(1.00)
lc007	epidermis	cadetblue2	epidermis	leiden	unknown(1.00)
lc008	epidermis	cadetblue2	epidermis	leiden	unknown(1.00)
lc021	epidermis	cadetblue2	epidermis	leiden	unknown(1.00)
lc001	epidermis	cadetblue2	epidermis	leiden	unknown(1.00)
lc026	epidermis	cadetblue2	epidermis	leiden	unknown(1.00)
lc045	epidermis	cadetblue2	epidermis	leiden	unknown(1.00)
lc009	calicoblast	mediumpurple1	epidermis	leiden	unknown(1.00)
lc022	calicoblast	mediumpurple1	epidermis	leiden	unknown(1.00)
lc032	calicoblast	mediumpurple1	epidermis	leiden	unknown(1.00)
lc016	neurosecretory_progenitors	slategray3	neurosecretory	leiden	unknown(1.00)
lc034	neurosecretory_progenitors	slategray3	neurosecretory	leiden	unknown(1.00)
lc017	neuron_Pou4	royalblue1	neurosecretory	leiden	unknown(1.00)
lc020	neuron_Pou4	royalblue1	neurosecretory	leiden	unknown(1.00)
lc042	neuron_Pou4	royalblue1	neurosecretory	leiden	unknown(1.00)
lc041	neuron_Pou4_Gsx	royalblue3	neurosecretory	leiden	unknown(1.00)
lc047	neuron_Pou4_Otp	royalblue4	neurosecretory	leiden	unknown(1.00)
lc005	neuron_Isl	steelblue1	neurosecretory	leiden	unknown(1.00)
lc044	gland_1_Xbp	sienna1	neurosecretory	leiden	unknown(1.00)
lc035	gland_2	sienna2	neurosecretory	leiden	unknown(1.00)
lc048	gland_3	sienna3	neurosecretory	leiden	unknown(1.00)
lc039	gland_4	tan1	neurosecretory	leiden	unknown(1.00)
lc043	gland_5	tan2	neurosecretory	leiden	unknown(1.00)
lc046	gland_6	tan3	neurosecretory	leiden	unknown(1.00)
lc023	gland_8	darkorange2	neurosecretory	leiden	unknown(1.00)
lc027	gland_8	darkorange2	neurosecretory	leiden	unknown(1.00)
lc029	gland_8	darkorange2	neurosecretory	leiden	unknown(1.00)
mc.0097	cnidocyte	mediumorchid2	neurosecretory	metacell	unknown(1.00)
lc049	neurosecretory_unknown	mediumorchid4	neurosecretory	leiden	unknown(1.00)
lc033	immune	plum1	immune	leiden	unknown(1.00)
mc.0001	germline_oocytes	khaki2	germline	metacell	unknown(1.00)
lc024	unknown_1	snow2	unknown	leiden	unknown(1.00)
lc036	unknown_2	snow3	unknown	leiden	unknown(1.00)
lc011	unknown_3	snow4	unknown	leiden	unknown(1.00)
