Ocuarb_v01_G000100.t0	Ocuarb_v01_G000100
Ocuarb_v01_G000101.t0	Ocuarb_v01_G000101
Ocuarb_v01_G000102.t0	Ocuarb_v01_G000102
Ocuarb_v01_G000103.t0	Ocuarb_v01_G000103
Ocuarb_v01_G000104.t0	Ocuarb_v01_G000104
Ocuarb_v01_G000105.t0	Ocuarb_v01_G000105
Ocuarb_v01_G000107.t0	Ocuarb_v01_G000107
Ocuarb_v01_G000108.t0	Ocuarb_v01_G000108
Ocuarb_v01_G000109.t0	Ocuarb_v01_G000109
Ocuarb_v01_G000109.t1	Ocuarb_v01_G000109
Ocuarb_v01_G000110.t0	Ocuarb_v01_G000110
Ocuarb_v01_G000111.t0	Ocuarb_v01_G000111
Ocuarb_v01_G000111.t1	Ocuarb_v01_G000111
Ocuarb_v01_G000112.t0	Ocuarb_v01_G000112
Ocuarb_v01_G000113.t0	Ocuarb_v01_G000113
Ocuarb_v01_G000114.t0	Ocuarb_v01_G000114
Ocuarb_v01_G000115.t0	Ocuarb_v01_G000115
Ocuarb_v01_G000116.t0	Ocuarb_v01_G000116
Ocuarb_v01_G000117.t0	Ocuarb_v01_G000117
Ocuarb_v01_G000118.t0	Ocuarb_v01_G000118
Ocuarb_v01_G000119.t0	Ocuarb_v01_G000119
Ocuarb_v01_G000120.t0	Ocuarb_v01_G000120
Ocuarb_v01_G000121.t0	Ocuarb_v01_G000121
Ocuarb_v01_G000122.t0	Ocuarb_v01_G000122
Ocuarb_v01_G000125.t0	Ocuarb_v01_G000125
Ocuarb_v01_G000126.t0	Ocuarb_v01_G000126
Ocuarb_v01_G000128.t0	Ocuarb_v01_G000128
Ocuarb_v01_G000129.t0	Ocuarb_v01_G000129
Ocuarb_v01_G000129.t1	Ocuarb_v01_G000129
Ocuarb_v01_G000130.t0	Ocuarb_v01_G000130
Ocuarb_v01_G000130.t1	Ocuarb_v01_G000130
Ocuarb_v01_G000131.t0	Ocuarb_v01_G000131
Ocuarb_v01_G000132.t0	Ocuarb_v01_G000132
Ocuarb_v01_G000133.t0	Ocuarb_v01_G000133
Ocuarb_v01_G000134.t0	Ocuarb_v01_G000134
Ocuarb_v01_G000137.t0	Ocuarb_v01_G000137
Ocuarb_v01_G000138.t0	Ocuarb_v01_G000138
Ocuarb_v01_G000139.t0	Ocuarb_v01_G000139
Ocuarb_v01_G000140.t0	Ocuarb_v01_G000140
Ocuarb_v01_G000141.t0	Ocuarb_v01_G000141
Ocuarb_v01_G000142.t0	Ocuarb_v01_G000142
Ocuarb_v01_G000143.t0	Ocuarb_v01_G000143
Ocuarb_v01_G000144.t0	Ocuarb_v01_G000144
Ocuarb_v01_G000145.t0	Ocuarb_v01_G000145
Ocuarb_v01_G000146.t0	Ocuarb_v01_G000146
Ocuarb_v01_G000147.t0	Ocuarb_v01_G000147
Ocuarb_v01_G000148.t0	Ocuarb_v01_G000148
Ocuarb_v01_G000149.t0	Ocuarb_v01_G000149
