Xesp_000178-T1	Xesp_000178
Xesp_000179-T1	Xesp_000179
Xesp_000180-T1	Xesp_000180
Xesp_000181-T1	Xesp_000181
Xesp_000182-T1	Xesp_000182
Xesp_000183-T1	Xesp_000183
Xesp_000184-T2	Xesp_000184
Xesp_000185-T1	Xesp_000185
Xesp_000186-T1	Xesp_000186
Xesp_000187-T1	Xesp_000187
Xesp_000188-T1	Xesp_000188
Xesp_000189-T1	Xesp_000189
Xesp_000190-T1	Xesp_000190
Xesp_000191-T1	Xesp_000191
Xesp_000192-T1	Xesp_000192
Xesp_000193-T1	Xesp_000193
Xesp_000194-T1	Xesp_000194
Xesp_000195-T1	Xesp_000195
Xesp_000196-T1	Xesp_000196
Xesp_000197-T1	Xesp_000197
Xesp_000198-T1	Xesp_000198
Xesp_000199-T1	Xesp_000199
Xesp_000200-T1	Xesp_000200
Xesp_000201-T1	Xesp_000201
Xesp_000202-T1	Xesp_000202
Xesp_000203-T1	Xesp_000203
Xesp_000204-T1	Xesp_000204
Xesp_000205-T1	Xesp_000205
Xesp_000206-T1	Xesp_000206
Xesp_000207-T1	Xesp_000207
Xesp_000208-T1	Xesp_000208
Xesp_000209-T1	Xesp_000209
Xesp_000210-T1	Xesp_000210
Xesp_000211-T1	Xesp_000211
Xesp_000212-T1	Xesp_000212
Xesp_000213-T1	Xesp_000213
Xesp_000214-T1	Xesp_000214
Xesp_000215-T1	Xesp_000215
Xesp_000216-T1	Xesp_000216
Xesp_000217-T1	Xesp_000217
Xesp_000218-T1	Xesp_000218
Xesp_000219-T1	Xesp_000219
Xesp_000220-T1	Xesp_000220
Xesp_000221-T1	Xesp_000221
Xesp_000222-T1	Xesp_000222
Xesp_000223-T1	Xesp_000223
Xesp_000224-T1	Xesp_000224
Xesp_000225-T1	Xesp_000225
Xesp_000226-T1	Xesp_000226
Xesp_000227-T1	Xesp_000227
Xesp_000228-T1	Xesp_000228
Xesp_000229-T1	Xesp_000229
Xesp_000230-T1	Xesp_000230
Xesp_000231-T1	Xesp_000231
Xesp_000232-T1	Xesp_000232
Xesp_000233-T1	Xesp_000233
Xesp_000234-T1	Xesp_000234
Xesp_000235-T1	Xesp_000235
Xesp_000236-T1	Xesp_000236
Xesp_000237-T1	Xesp_000237
Xesp_000238-T1	Xesp_000238
Xesp_000239-T1	Xesp_000239
Xesp_000241-T1	Xesp_000241
Xesp_000242-T1	Xesp_000242
Xesp_000243-T1	Xesp_000243
Xesp_000244-T1	Xesp_000244
Xesp_000245-T1	Xesp_000245
Xesp_000246-T1	Xesp_000246
Xesp_000247-T1	Xesp_000247
Xesp_000248-T1	Xesp_000248
Xesp_000249-T1	Xesp_000249
Xesp_000250-T1	Xesp_000250
Xesp_000251-T1	Xesp_000251
Xesp_000252-T1	Xesp_000252
Xesp_000253-T1	Xesp_000253
Xesp_000254-T1	Xesp_000254
Xesp_000256-T1	Xesp_000256
Xesp_000257-T1	Xesp_000257
Xesp_000258-T1	Xesp_000258
Xesp_000259-T1	Xesp_000259
Xesp_000260-T1	Xesp_000260
Xesp_000261-T1	Xesp_000261
Xesp_000262-T1	Xesp_000262
Xesp_000263-T1	Xesp_000263
Xesp_000264-T1	Xesp_000264
Xesp_000265-T1	Xesp_000265
Xesp_000266-T1	Xesp_000266
Xesp_000267-T1	Xesp_000267
Xesp_000268-T1	Xesp_000268
Xesp_000269-T1	Xesp_000269
Xesp_000271-T1	Xesp_000271
Xesp_000272-T1	Xesp_000272
Xesp_000273-T1	Xesp_000273
Xesp_000274-T1	Xesp_000274
Xesp_000275-T1	Xesp_000275
Xesp_000276-T1	Xesp_000276
Xesp_000277-T1	Xesp_000277
Xesp_000278-T1	Xesp_000278
Xesp_000279-T1	Xesp_000279
Xesp_000280-T1	Xesp_000280
Xesp_000281-T1	Xesp_000281
Xesp_000282-T1	Xesp_000282
Xesp_000283-T1	Xesp_000283
Xesp_000284-T1	Xesp_000284
Xesp_000285-T1	Xesp_000285
Xesp_000286-T1	Xesp_000286
Xesp_000287-T1	Xesp_000287
Xesp_000289-T1	Xesp_000289
Xesp_000290-T2	Xesp_000290
Xesp_000291-T1	Xesp_000291
Xesp_000292-T1	Xesp_000292
Xesp_000293-T1	Xesp_000293
Xesp_000294-T1	Xesp_000294
Xesp_000295-T1	Xesp_000295
Xesp_000296-T1	Xesp_000296
Xesp_000297-T1	Xesp_000297
Xesp_000298-T1	Xesp_000298
Xesp_000299-T1	Xesp_000299
Xesp_000300-T1	Xesp_000300
Xesp_000301-T1	Xesp_000301
Xesp_000303-T1	Xesp_000303
Xesp_000304-T1	Xesp_000304
Xesp_000305-T1	Xesp_000305
Xesp_000306-T1	Xesp_000306
Xesp_000307-T1	Xesp_000307
Xesp_000308-T1	Xesp_000308
Xesp_000309-T1	Xesp_000309
Xesp_000310-T1	Xesp_000310
Xesp_000313-T1	Xesp_000313
Xesp_000315-T1	Xesp_000315
Xesp_000316-T1	Xesp_000316
Xesp_000317-T1	Xesp_000317
Xesp_000318-T1	Xesp_000318
Xesp_000319-T1	Xesp_000319
Xesp_000320-T1	Xesp_000320
Xesp_000321-T1	Xesp_000321
Xesp_000322-T1	Xesp_000322
Xesp_000323-T1	Xesp_000323
Xesp_000324-T1	Xesp_000324
Xesp_000325-T1	Xesp_000325
Xesp_000326-T1	Xesp_000326
Xesp_000328-T1	Xesp_000328
Xesp_000330-T1	Xesp_000330
Xesp_000331-T1	Xesp_000331
Xesp_000332-T1	Xesp_000332
Xesp_000333-T1	Xesp_000333
Xesp_000334-T1	Xesp_000334
Xesp_000335-T1	Xesp_000335
Xesp_000336-T1	Xesp_000336
